zone,temperature,vegetation,building_density,population,vulnerability,cooling_access,water_access,hospital_capacity,heat_risk_score,risk_class
Z0663,37.71,75.75,82.26,42623,39.59,16.41,65.19,47.1,44.53,1
Z0664,39.44,14.76,60.6,49269,24.04,44.52,17.75,51.35,55.0,1
Z0665,42.05,71.85,70.92,34218,69.31,38.12,83.57,77.03,55.38,2
Z0666,41.71,45.01,93.29,35519,65.42,18.36,82.21,75.89,63.33,2
Z0667,35.97,28.28,71.89,35500,57.64,95.27,22.93,91.66,41.7,1
Z0668,37.58,32.26,41.92,48593,46.43,87.47,39.23,59.0,40.53,1
Z0669,35.65,13.47,61.11,16193,42.58,41.38,61.72,60.64,42.15,1
Z0670,39.06,58.57,36.95,41447,71.96,81.32,57.95,52.07,43.19,1
Z0671,39.13,51.57,65.62,36612,50.71,40.66,83.25,67.28,46.36,1
Z0672,42.84,37.65,81.18,40686,75.53,25.58,70.26,79.15,67.85,2
Z0673,42.12,67.76,37.43,44064,57.03,59.96,83.98,34.09,49.26,1
Z0674,44.56,10.22,37.07,44086,81.71,44.1,54.49,72.81,71.46,2
Z0675,35.91,66.28,87.67,46689,84.79,78.14,69.48,56.24,41.07,1
Z0676,37.92,51.17,59.07,18478,74.52,38.49,61.32,93.06,46.47,1
Z0677,38.05,75.75,58.26,27561,99.22,62.45,65.03,60.83,45.61,1
Z0678,43.48,68.94,34.06,40971,97.43,10.08,60.4,98.3,62.85,2
Z0679,36.1,26.17,32.03,33292,76.18,45.48,38.63,50.62,44.65,1
Z0680,38.82,45.88,73.06,36121,31.13,59.99,85.9,48.82,43.16,1
Z0681,39.17,26.64,86.73,13227,30.74,16.46,11.41,77.71,59.47,2
Z0682,39.87,37.76,94.36,10548,30.98,82.53,87.41,91.49,46.17,1
Z0683,41.95,74.77,70.51,34779,60.75,59.68,50.5,48.42,55.9,2
Z0684,36.86,50.34,67.57,20515,76.97,34.23,93.39,66.11,43.63,1
Z0685,35.33,7.84,61.41,29155,29.05,53.34,72.14,31.37,39.28,1
Z0686,42.31,78.77,93.94,23312,57.19,17.04,90.09,27.08,60.73,2
Z0687,39.72,60.63,92.43,10117,74.73,58.53,62.17,69.04,54.63,1
Z0688,44.04,45.13,30.7,34755,61.01,52.23,76.04,53.68,58.58,2
Z0689,44.61,64.87,48.8,7315,75.6,63.79,37.37,82.8,63.49,2
Z0690,37.6,52.2,67.58,42542,24.13,99.13,82.8,69.95,32.05,0
Z0691,37.87,11.19,62.86,23209,40.16,65.42,34.77,40.56,50.33,1
Z0692,42.41,50.29,89.16,14904,72.73,43.28,25.79,82.6,67.95,2
Z0693,37.36,18.56,64.28,7168,47.43,17.6,23.06,94.72,52.26,1
Z0694,36.54,42.2,94.58,30111,39.04,49.62,67.38,36.87,44.79,1
Z0695,42.34,30.88,71.75,12601,24.2,51.76,52.86,58.1,58.42,2
Z0696,44.48,74.18,45.19,49794,76.45,52.71,23.06,89.62,63.51,2
Z0697,35.12,74.54,59.17,49465,45.26,57.72,96.03,27.79,28.07,0
Z0698,40.31,31.54,84.88,45008,93.44,87.25,40.15,41.37,63.15,2
Z0699,35.98,54.08,55.42,49255,79.93,76.09,62.99,35.59,39.45,1
Z0700,38.37,56.77,41.69,40888,20.85,10.76,16.12,52.9,45.65,1
Z0701,40.25,56.41,52.85,23566,40.15,13.06,65.75,24.55,52.14,1
Z0702,40.94,72.05,44.09,44281,71.05,73.73,20.8,88.52,50.41,1
Z0703,36.3,54.23,88.49,42097,84.26,26.63,19.98,34.74,55.28,2
Z0704,37.95,54.54,34.92,34716,93.82,34.87,48.43,92.27,47.02,1
Z0705,42.7,29.26,40.53,9849,42.18,15.61,44.97,99.68,60.07,2
Z0706,37.58,65.96,41.57,9548,59.34,93.57,64.93,34.28,35.42,1
Z0707,39.92,15.79,79.97,19312,69.12,19.56,49.74,40.72,65.79,2
Z0708,35.35,10.28,77.29,34221,21.5,54.79,68.76,20.07,40.96,1
Z0709,35.38,34.29,39.85,26615,92.37,61.72,56.38,95.19,39.26,1
Z0710,39.91,37.7,84.86,9594,63.21,10.3,95.87,85.44,56.39,2
Z0711,39.82,47.54,90.78,28522,46.68,37.25,14.97,99.76,57.74,2
Z0712,41.47,32.4,85.47,27286,26.44,51.37,78.99,71.82,54.71,1
Z0713,36.77,7.95,54.97,17517,43.91,45.11,19.61,75.11,48.71,1
Z0714,39.87,71.39,58.47,17416,31.2,27.38,74.78,67.44,43.75,1
Z0715,39.89,9.72,65.14,25167,59.97,96.85,83.06,97.33,49.13,1
Z0716,35.16,30.45,51.95,7805,52.44,29.05,68.85,61.85,38.7,1
Z0717,44.4,70.27,64.88,42968,38.64,16.48,76.19,59.11,60.97,2
Z0718,35.19,73.04,70.19,20904,76.1,21.75,25.5,24.0,45.64,1
Z0719,38.07,64.53,59.65,16186,86.83,15.76,83.57,29.13,50.12,1
Z0720,40.95,51.17,34.1,18280,54.1,83.04,98.4,74.27,41.55,1
Z0721,38.24,78.19,67.44,14000,45.73,96.82,29.19,23.65,41.19,1
Z0722,36.73,9.74,47.8,32207,33.44,43.29,24.85,39.49,47.14,1
Z0723,40.82,15.0,81.42,46431,69.0,79.99,11.41,58.96,65.68,2
Z0724,35.06,18.46,35.79,47713,67.5,35.54,72.42,83.38,37.95,1
Z0725,39.76,14.52,39.3,22756,61.85,47.08,94.43,68.84,49.68,1
Z0726,35.38,18.5,62.49,10768,70.18,80.43,41.31,20.37,45.06,1
Z0727,37.36,13.81,64.46,11270,69.51,87.65,98.81,60.6,43.42,1
Z0728,39.64,51.98,43.53,8477,35.5,81.7,71.67,97.49,37.77,1
Z0729,39.74,18.22,73.56,7825,24.32,42.78,28.86,40.11,57.01,2
Z0730,41.17,71.76,59.45,11843,79.23,93.24,25.83,82.84,52.5,1
Z0731,39.85,13.7,88.18,34151,67.42,39.34,27.89,74.15,65.41,2
Z0732,38.26,63.42,51.2,11426,38.97,47.13,28.0,91.31,41.7,1
Z0733,35.74,48.88,33.53,33564,31.6,93.51,50.95,50.99,27.65,0
Z0734,36.36,58.99,71.08,22674,36.18,21.45,72.3,24.77,40.72,1
Z0735,36.37,68.87,59.81,16219,80.83,29.79,36.56,32.54,46.6,1
Z0736,42.95,76.46,88.86,42887,97.61,86.95,17.78,88.56,65.44,2
Z0737,39.89,79.67,68.45,35327,42.33,75.7,76.26,39.73,42.16,1
Z0738,38.27,48.46,87.97,43782,95.7,92.24,90.84,53.42,49.12,1
Z0739,35.44,79.35,77.68,38044,22.69,57.8,53.13,83.84,29.19,0
Z0740,43.21,38.93,45.63,41601,80.25,72.38,46.6,37.44,63.91,2
Z0741,38.58,22.93,94.93,6043,58.38,37.44,73.3,88.63,54.8,1
Z0742,42.47,6.83,59.56,14084,89.94,46.48,81.09,49.63,68.58,2
Z0743,39.64,52.51,85.92,9633,50.79,72.17,57.78,43.73,51.38,1
Z0744,42.53,57.35,69.81,42698,83.56,80.89,17.29,90.47,62.65,2
Z0745,42.36,9.11,91.45,49214,49.12,14.64,44.47,57.23,73.02,2
Z0746,35.41,32.48,72.13,9391,64.86,79.62,22.46,46.79,44.36,1
Z0747,40.4,53.68,77.93,43018,89.69,73.26,77.79,80.87,54.13,1
Z0748,38.2,72.34,62.73,32717,42.17,15.7,41.07,58.9,45.88,1
Z0749,40.27,14.2,76.14,49453,86.03,90.95,50.68,49.45,61.36,2
Z0750,41.73,56.99,93.58,9300,35.07,89.56,17.86,51.25,57.64,2
Z0751,36.79,76.87,35.0,15798,42.08,72.74,54.67,90.0,28.15,0
Z0752,40.21,52.05,49.06,49721,63.31,21.88,41.2,55.51,55.59,2
Z0753,41.45,26.86,34.09,20225,86.8,56.77,40.23,66.3,60.43,2
Z0754,41.56,64.01,61.6,48637,75.75,85.77,50.07,44.33,54.87,1
Z0755,36.32,64.2,41.16,22039,38.14,43.47,35.93,87.64,33.9,0
Z0756,36.48,26.33,92.15,45542,93.93,74.06,35.67,97.86,52.55,1
Z0757,43.39,56.96,73.31,15058,32.9,20.52,99.44,65.96,57.27,2
Z0758,39.41,32.73,43.34,7273,73.24,98.02,23.31,55.87,50.88,1
Z0759,44.75,45.02,37.9,6633,52.36,54.95,23.08,56.64,65.41,2
Z0760,38.2,5.32,78.0,38253,46.5,73.49,52.65,43.19,52.71,1
Z0761,44.44,78.55,67.29,14639,83.97,75.57,93.01,47.09,60.01,2
Z0762,36.12,40.92,32.61,49433,64.08,37.73,46.15,87.27,38.98,1
Z0763,39.46,11.94,33.58,47029,35.61,57.38,80.32,81.37,44.13,1
Z0764,36.96,11.27,85.21,49372,73.72,17.86,56.06,35.56,58.85,2
Z0765,38.18,50.38,91.32,48697,48.89,23.32,86.84,49.57,49.51,1
Z0766,38.73,26.35,52.84,34201,89.94,17.88,75.51,55.54,56.53,2
Z0767,44.93,65.28,48.76,32776,78.29,47.28,85.2,67.83,62.4,2
Z0768,36.44,27.74,94.24,39426,98.93,15.95,96.41,80.49,53.86,1
Z0769,35.88,35.71,89.44,32165,33.99,51.59,61.11,93.19,39.88,1
Z0770,36.99,67.42,48.82,37151,23.38,84.36,85.11,44.31,27.53,0
Z0771,40.59,39.76,31.74,5160,32.32,37.02,67.65,70.92,46.41,1
Z0772,36.24,54.94,48.7,16755,59.35,71.91,32.03,29.55,39.82,1
Z0773,37.77,79.57,34.34,28708,66.49,60.9,88.15,70.24,33.09,0
Z0774,39.76,57.07,37.77,38588,78.64,11.58,33.36,66.53,55.36,2
Z0775,36.46,39.58,75.06,28421,33.06,34.54,47.76,92.97,41.79,1
Z0776,38.56,26.74,64.42,10034,61.11,78.98,26.49,27.56,53.57,1
Z0777,42.53,45.78,86.71,49890,83.99,34.43,72.82,49.0,68.14,2
Z0778,40.34,31.37,39.34,13975,61.45,43.57,53.64,47.23,54.36,1
Z0779,44.11,12.68,40.05,19490,86.53,81.56,60.28,75.17,66.46,2
Z0780,44.52,68.46,76.32,12468,53.39,92.44,20.49,30.5,64.94,2
Z0781,35.17,31.12,74.92,14110,85.36,90.08,63.79,81.09,40.46,1
Z0782,38.42,58.24,31.87,12772,37.79,87.11,22.81,38.13,39.07,1
Z0783,36.25,14.77,35.11,12321,26.22,79.72,78.16,23.4,33.79,0
Z0784,36.08,64.48,63.38,8884,57.53,91.77,13.9,44.13,38.93,1
Z0785,35.1,12.24,38.05,44439,36.43,91.11,26.63,48.12,35.46,1
Z0786,35.91,68.44,91.22,42994,47.83,24.45,55.06,78.28,41.45,1
Z0787,37.42,47.77,36.44,42888,81.06,57.6,74.42,97.14,39.66,1
Z0788,36.72,61.55,30.28,11467,93.94,92.84,86.62,57.98,33.71,0
Z0789,41.98,18.88,73.78,12033,34.47,41.93,44.17,37.14,63.88,2
Z0790,37.28,13.46,94.0,13101,57.27,56.78,54.62,48.9,53.91,1
Z0791,37.88,59.16,35.35,37355,29.26,35.53,64.04,44.96,37.26,1
Z0792,44.76,38.3,66.0,24044,98.8,48.52,87.11,91.58,70.12,2
Z0793,43.02,75.43,53.88,5837,99.9,54.25,19.47,55.04,65.7,2
Z0794,41.59,11.38,39.32,31255,75.6,97.98,76.73,91.39,53.25,1
Z0795,36.69,32.28,42.94,18124,67.6,99.16,21.05,87.05,40.43,1
Z0796,42.25,25.89,76.38,43136,67.49,78.07,82.09,95.46,58.66,2
Z0797,38.56,55.0,91.76,36754,60.91,23.26,50.92,29.78,56.43,2
Z0798,39.89,22.31,91.26,6947,27.97,14.76,16.14,74.25,62.42,2
Z0799,44.72,33.7,74.15,15009,44.22,66.09,78.42,72.89,63.77,2
Z0800,40.2,41.91,60.29,24238,72.97,54.12,33.55,47.49,58.16,2
Z0801,43.6,46.0,91.92,7070,99.26,89.21,20.72,56.01,73.77,2
Z0802,43.53,38.19,32.34,16591,64.53,87.43,37.27,76.48,58.09,2
Z0803,39.91,15.09,76.52,36945,81.12,61.2,54.15,64.3,61.38,2
Z0804,40.39,40.24,66.55,15243,60.53,45.22,54.52,97.67,54.35,1
Z0805,41.17,31.46,93.56,26003,24.91,63.14,21.54,49.31,60.63,2
Z0806,43.1,48.8,79.74,45970,47.3,18.76,41.06,48.59,67.61,2
Z0807,38.51,54.59,46.09,47472,44.97,17.64,71.92,89.52,42.58,1
Z0808,36.14,17.73,65.0,7449,56.87,87.7,61.12,92.11,39.57,1
Z0809,37.67,57.2,68.22,25743,50.22,45.13,61.53,84.67,42.29,1
Z0810,36.0,55.63,51.84,37949,84.92,70.06,25.0,43.96,43.47,1
Z0811,44.69,20.13,71.3,9936,87.23,58.23,35.86,23.8,79.24,3
Z0812,44.96,35.15,44.68,11026,77.42,62.04,63.27,41.87,68.3,2
Z0813,40.66,44.83,57.76,27761,83.65,68.64,37.17,84.33,56.68,2
Z0814,39.33,45.5,43.01,31365,40.1,56.38,70.44,63.8,42.76,1
Z0815,43.81,52.09,63.55,17225,66.15,29.17,96.59,79.38,61.52,2
Z0816,39.67,75.29,64.63,45266,88.22,91.62,94.12,78.13,43.17,1
Z0817,35.6,20.05,60.06,20753,32.04,71.68,37.02,54.83,38.99,1
Z0818,38.19,67.27,34.19,18340,87.68,34.02,35.83,32.85,49.12,1
Z0819,41.87,22.71,45.5,14827,35.35,32.1,84.45,57.13,54.82,1
Z0820,40.6,37.71,72.05,7425,36.16,34.54,12.62,83.17,58.49,2
Z0821,37.78,46.3,71.88,7767,97.1,53.73,11.79,88.77,55.74,2
Z0822,35.84,50.12,86.37,31673,91.74,70.45,89.71,51.75,43.11,1
Z0823,43.4,68.21,45.34,42419,78.76,93.96,56.98,86.32,54.17,1
Z0824,44.5,74.87,46.37,10914,39.05,21.0,82.6,46.34,57.39,2
Z0825,40.84,34.25,78.64,20462,94.84,29.62,19.61,37.13,71.64,2
Z0826,37.75,35.63,86.09,8665,59.23,43.72,95.38,45.32,48.51,1
Z0827,39.24,56.21,92.62,14496,49.04,74.41,83.92,21.69,48.61,1
Z0828,44.67,50.44,84.7,48399,83.92,14.92,92.57,73.73,72.29,2
Z0829,37.53,33.85,71.53,28780,92.25,71.67,58.14,38.91,52.15,1
Z0830,39.42,5.59,92.45,21746,44.07,94.27,78.1,43.79,53.48,1
Z0831,43.59,17.02,58.52,25786,90.36,79.01,46.57,22.71,71.87,2
Z0832,43.66,66.74,91.13,35873,78.96,93.38,39.94,53.79,65.47,2
Z0833,44.19,12.53,40.42,22102,60.51,41.67,64.19,85.07,65.98,2
Z0834,42.38,38.99,31.78,8414,71.31,26.54,49.91,71.29,60.54,2
Z0835,35.03,20.01,49.86,42736,26.58,24.2,56.47,97.57,35.61,1
Z0836,43.31,62.24,85.05,49941,52.83,94.55,50.63,89.88,57.25,2
Z0837,36.34,18.01,68.55,26468,83.96,27.88,47.3,34.55,54.93,1
Z0838,43.76,75.86,87.48,19711,21.66,12.07,60.27,68.96,60.6,2
Z0839,37.29,11.67,60.06,22156,76.1,25.19,46.09,54.31,55.69,2
Z0840,37.6,11.68,53.91,42174,29.39,74.67,49.16,93.6,41.48,1
Z0841,39.54,55.52,37.7,18313,35.24,87.57,80.39,43.04,37.28,1
Z0842,39.94,14.76,85.66,44327,37.25,84.17,75.4,35.15,53.33,1
Z0843,36.8,64.43,31.87,22157,38.84,50.59,32.35,66.63,34.73,0
Z0844,41.47,11.43,60.48,26184,97.95,45.78,29.1,50.68,71.44,2
Z0845,39.23,49.79,34.75,41503,24.7,39.96,31.14,92.66,42.41,1
Z0846,44.97,75.45,92.87,44205,76.77,82.89,10.48,60.36,71.67,2
Z0847,38.81,78.31,73.63,13666,97.44,60.36,62.24,40.82,51.04,1
Z0848,40.04,74.77,87.06,13645,27.17,73.92,48.96,40.83,46.7,1
Z0849,38.13,78.39,62.45,23415,79.83,93.36,35.46,90.15,41.59,1
Z0850,41.13,62.12,47.14,25513,54.86,24.85,76.32,59.3,51.29,1
Z0851,44.5,46.68,89.99,46723,83.86,14.79,23.38,38.39,81.84,3
Z0852,35.36,24.52,75.89,33601,29.28,90.57,54.54,55.32,35.9,1
Z0853,44.89,47.06,59.75,12372,87.67,88.02,21.13,27.49,72.43,2
Z0854,43.68,18.55,40.94,38340,85.81,60.69,69.68,36.99,67.39,2
Z0855,44.98,5.31,79.85,16833,53.31,16.92,79.14,74.15,75.8,3
Z0856,43.87,6.95,74.29,49606,29.76,43.62,93.62,28.49,66.04,2
Z0857,38.24,7.17,59.92,48223,58.39,66.55,34.24,72.64,52.67,1
Z0858,38.29,8.29,70.45,34694,45.99,75.84,76.09,96.59,46.08,1
Z0859,40.69,20.85,33.16,47181,42.64,81.83,76.94,63.77,46.25,1
Z0860,41.02,11.94,46.59,20733,97.2,87.9,18.03,88.19,62.84,2
Z0861,36.63,63.46,48.52,47864,32.33,36.87,82.1,78.87,31.66,0
Z0862,44.22,72.78,69.23,28530,73.24,84.88,56.14,59.17,61.04,2
Z0863,43.85,40.73,66.6,32726,27.22,48.03,43.14,34.91,63.66,2
Z0864,41.31,11.97,63.37,35377,74.12,68.28,74.23,94.45,58.77,2
Z0865,40.27,53.54,35.46,35685,54.99,91.65,52.99,31.89,45.3,1
Z0866,36.28,72.72,84.7,39281,54.22,61.17,59.59,93.38,37.02,1
Z0867,40.13,43.3,56.85,35451,72.87,61.16,32.8,40.39,56.95,2
Z0868,35.82,42.76,37.41,48357,57.03,80.76,85.86,23.62,32.36,0
Z0869,39.16,57.83,50.41,34818,80.59,50.5,82.71,47.31,47.78,1
Z0870,44.18,65.75,43.72,10126,79.76,64.36,88.45,28.51,59.5,2
Z0871,40.34,5.44,37.58,16254,72.46,51.41,46.46,72.62,58.3,2
Z0872,42.44,59.44,49.68,45418,48.86,70.64,72.13,51.6,51.34,1
Z0873,38.03,14.38,30.9,12334,85.28,72.64,26.94,22.15,53.28,1
Z0874,39.81,15.89,45.72,46029,88.66,58.47,17.75,81.58,60.51,2
Z0875,36.48,36.64,37.57,14989,79.1,50.07,53.65,21.57,45.0,1
Z0876,39.5,23.2,49.16,30672,24.07,10.71,66.74,77.05,49.39,1
Z0877,44.79,68.65,77.91,44048,78.49,99.91,13.33,51.97,68.62,2
Z0878,40.13,59.35,90.79,36975,38.55,15.46,11.71,66.11,59.88,2
Z0879,40.53,25.09,72.14,36020,29.36,66.04,68.16,55.87,51.85,1
Z0880,39.36,17.1,77.2,35752,47.51,30.89,29.77,92.73,58.53,2
Z0881,38.39,50.16,84.76,48054,57.48,89.49,75.07,51.23,44.97,1
Z0882,39.17,75.59,72.41,28609,83.68,81.98,86.01,69.75,44.29,1
Z0883,37.82,61.19,73.36,13460,33.86,24.07,54.3,83.48,43.37,1
Z0884,44.43,42.03,45.26,41492,23.76,11.63,89.28,48.56,59.82,2
Z0885,36.59,67.1,88.14,7095,84.55,40.4,20.26,38.14,52.62,1
Z0886,40.62,41.48,94.59,28281,81.55,79.31,60.13,91.71,58.53,2
Z0887,43.53,70.53,69.28,11825,76.51,93.4,49.4,56.57,59.78,2
Z0888,43.42,13.32,36.88,45014,68.77,87.25,19.17,65.0,65.21,2
Z0889,40.07,17.53,37.67,18460,92.88,24.13,36.29,55.32,63.36,2
Z0890,40.06,59.94,36.45,47407,49.1,83.72,21.07,36.15,46.73,1
Z0891,44.7,62.69,30.43,36042,47.31,55.45,17.67,49.79,61.54,2
Z0892,42.55,32.05,73.22,14935,80.26,57.67,80.85,31.04,65.46,2
Z0893,39.29,73.85,88.37,38826,83.57,42.56,12.68,31.65,60.47,2
Z0894,35.1,65.47,91.34,10556,47.06,46.15,79.51,54.73,35.94,1
Z0895,38.93,7.78,89.96,14892,92.2,15.2,66.84,77.07,65.9,2
Z0896,41.6,43.98,49.22,31345,90.86,73.07,88.62,77.72,54.17,1
Z0897,38.14,30.81,83.76,39589,68.83,23.22,46.35,71.51,57.14,2
Z0898,43.88,51.83,70.18,33976,75.8,89.89,80.34,52.36,61.11,2
Z0899,36.97,27.61,32.4,26921,51.2,74.7,89.19,61.64,34.85,0
Z0900,40.41,21.03,63.26,25463,61.71,78.13,24.4,22.23,60.45,2
Z0901,42.97,49.44,45.69,24919,78.12,98.83,19.94,24.8,61.94,2
Z0902,38.73,52.02,53.04,8128,80.52,94.72,50.39,65.79,45.62,1
Z0903,35.05,30.42,45.35,43115,65.25,90.49,66.5,62.66,33.35,0
Z0904,40.96,31.28,48.49,42536,73.79,74.29,56.77,39.81,56.42,2
Z0905,38.28,48.68,83.48,28676,56.34,23.19,48.31,52.96,53.71,1
Z0906,35.92,36.87,38.45,19076,55.69,43.24,57.36,67.06,37.95,1
Z0907,40.19,34.61,47.14,37691,70.92,99.69,72.01,95.83,46.12,1
Z0908,42.32,36.27,40.58,38147,30.17,74.0,21.64,76.36,53.74,1
Z0909,43.63,13.85,43.82,36021,22.61,24.12,60.31,93.74,60.65,2
Z0910,36.19,68.92,37.17,29221,65.74,13.63,23.8,49.72,42.43,1
Z0911,44.91,27.74,61.59,14363,31.37,63.07,14.38,91.54,67.19,2
Z0912,43.89,21.17,83.24,37033,20.17,59.28,16.08,23.57,70.29,2
Z0913,39.81,28.23,59.4,27139,82.51,52.77,74.8,68.46,55.31,2
Z0914,42.62,42.86,59.96,34486,73.38,23.41,75.51,27.15,65.18,2
Z0915,41.25,51.77,55.17,30912,47.12,14.12,70.34,55.45,55.1,2
Z0916,37.77,11.64,40.76,6625,65.76,81.65,73.67,64.88,43.78,1
Z0917,36.24,46.95,42.51,45547,63.35,78.19,96.16,61.74,32.03,0
Z0918,42.51,42.7,31.21,48139,94.89,26.18,11.71,82.94,67.09,2
Z0919,37.45,57.92,87.7,34113,26.77,58.02,38.84,67.11,42.8,1
Z0920,39.91,75.04,52.1,16829,53.19,87.37,38.56,40.57,44.66,1
Z0921,36.15,12.45,40.93,14439,34.61,79.15,23.88,96.17,37.79,1
Z0922,41.79,9.42,92.47,16892,22.17,15.27,45.09,45.6,67.83,2
Z0923,39.13,29.32,54.41,12927,24.15,31.57,63.73,38.92,48.3,1
Z0924,40.09,42.83,91.71,22648,24.85,51.83,46.64,58.73,53.53,1
Z0925,39.07,22.53,87.6,22639,64.33,62.76,19.14,81.04,59.39,2
Z0926,41.52,14.42,66.94,34227,26.71,67.22,28.31,97.43,57.01,2
Z0927,38.73,78.9,80.83,40227,96.21,96.52,59.96,23.34,49.1,1
Z0928,43.13,77.08,70.35,47798,97.77,10.05,94.02,58.57,64.7,2
Z0929,40.98,67.96,54.71,28030,87.4,29.15,85.66,42.5,55.45,2
Z0930,36.61,45.06,34.55,10879,51.62,21.07,22.57,64.52,43.42,1
Z0931,37.79,37.4,69.68,25860,90.71,95.09,67.17,98.37,45.69,1
Z0932,42.08,25.48,73.05,26078,47.33,51.38,63.96,21.27,62.87,2
Z0933,41.92,53.48,30.13,36229,20.34,10.86,25.62,64.46,53.43,1
Z0934,41.96,41.67,55.53,10318,82.98,68.42,16.98,22.48,65.76,2
Z0935,43.32,55.37,73.7,28133,97.76,43.87,64.12,50.94,69.03,2
Z0936,43.39,65.89,93.95,13176,57.02,94.26,50.01,37.72,61.62,2
Z0937,35.2,26.09,89.89,28450,35.32,83.47,66.27,84.67,36.26,1
Z0938,37.21,78.51,92.87,7411,42.46,91.41,73.63,36.73,36.82,1
Z0939,36.96,66.58,55.75,23176,65.53,54.46,59.66,72.79,39.03,1
Z0940,40.66,56.18,66.73,9283,67.05,77.14,21.47,94.69,54.02,1
Z0941,43.55,71.08,77.38,22978,35.35,71.02,99.28,75.44,51.11,1
Z0942,40.33,23.97,66.41,34748,20.16,48.44,70.58,72.0,49.88,1
Z0943,43.54,29.22,84.88,31665,41.92,71.22,51.99,48.92,65.49,2
Z0944,42.59,71.29,44.6,23214,93.47,57.92,38.46,51.35,60.58,2
Z0945,38.35,71.01,82.5,19786,98.25,48.14,16.7,40.0,58.02,2
Z0946,36.64,28.31,70.69,11339,22.23,48.88,12.16,83.78,44.33,1
Z0947,44.35,68.04,46.06,36036,39.07,40.67,14.9,46.69,62.72,2
Z0948,42.94,75.77,80.42,45603,55.08,18.61,50.18,29.99,64.41,2
Z0949,44.75,73.75,54.53,9261,82.61,15.58,82.21,24.38,67.75,2
Z0950,41.11,37.39,36.62,8656,64.74,36.54,44.33,27.67,58.45,2
Z0951,42.52,22.48,68.97,48235,69.92,50.81,51.78,54.25,67.05,2
Z0952,41.2,12.6,72.31,49287,82.63,50.87,39.54,35.4,69.15,2
Z0953,36.03,49.64,34.39,17688,92.35,21.34,55.8,48.43,44.51,1
Z0954,39.81,51.56,42.09,14022,83.76,15.44,38.05,54.87,57.49,2
Z0955,44.6,61.58,50.23,40464,82.04,23.27,37.78,47.43,70.92,2
Z0956,38.69,5.61,68.12,49453,31.57,31.36,83.73,64.76,50.43,1
Z0957,35.55,30.79,93.47,46979,92.68,80.67,40.74,73.43,49.13,1
Z0958,41.95,78.64,68.98,26701,88.16,60.95,40.21,43.97,60.3,2
Z0959,38.29,12.86,86.95,7765,59.67,92.8,67.49,75.46,50.12,1
Z0960,39.67,20.99,61.25,26726,84.58,43.83,46.03,86.09,59.43,2
Z0961,35.07,5.74,53.26,41352,29.22,36.15,27.5,66.85,42.0,1
Z0962,42.66,8.29,31.93,17964,42.73,29.71,33.58,33.94,64.9,2
Z0963,43.48,23.45,42.74,16539,87.43,91.96,11.89,74.2,67.34,2
Z0964,38.79,64.06,37.21,18778,44.41,31.61,82.85,72.87,38.91,1
Z0965,44.41,78.28,94.85,33424,90.27,15.88,23.0,93.93,75.68,3
Z0966,42.95,19.38,54.58,29527,45.44,48.66,67.25,93.68,59.67,2
Z0967,42.63,49.05,85.54,24279,83.17,39.49,14.79,83.65,71.23,2
Z0968,43.73,68.86,92.94,37046,36.74,17.33,52.36,73.08,64.69,2
Z0969,35.65,43.15,78.84,47275,80.09,43.68,56.7,34.32,47.56,1
Z0970,42.12,44.41,61.41,37426,57.9,62.31,67.43,83.25,55.47,2
Z0971,41.5,20.54,88.17,34627,89.05,45.63,37.54,91.1,70.12,2
Z0972,40.71,75.16,54.32,41080,26.78,77.65,36.55,61.51,43.54,1
Z0973,37.3,8.09,63.3,27044,54.09,52.08,46.81,84.36,49.19,1
Z0974,38.17,33.68,41.67,20321,41.25,16.83,91.13,43.56,43.92,1
Z0975,40.02,46.0,35.08,23115,94.13,18.86,16.42,23.06,62.85,2
Z0976,37.0,19.75,51.4,24838,79.62,79.16,86.09,35.25,44.41,1
Z0977,41.04,15.34,85.57,40594,92.99,10.77,36.95,85.78,73.54,2
Z0978,42.83,35.29,56.37,43007,80.62,11.07,68.87,99.14,65.8,2
Z0979,44.51,69.91,44.79,18754,57.96,56.42,80.74,80.61,55.72,2
Z0980,42.23,39.61,81.47,25517,87.66,48.59,94.77,53.42,64.1,2
Z0981,39.39,68.97,31.96,14106,66.2,21.55,94.9,20.77,44.85,1
Z0982,43.1,67.57,52.09,32469,54.06,77.74,78.66,75.24,50.7,1
Z0983,38.0,49.02,66.89,7110,93.77,23.83,95.74,46.42,51.46,1
Z0984,41.3,50.23,69.51,30617,98.41,28.38,45.16,62.76,66.06,2
Z0985,36.88,13.15,67.02,34591,71.12,37.42,25.43,73.99,54.41,1
Z0986,36.78,66.99,69.22,6758,34.94,16.25,96.67,42.71,37.48,1
Z0987,37.33,54.47,34.55,8765,49.49,10.99,39.41,92.78,41.75,1
Z0988,38.91,79.22,38.39,32421,58.26,16.19,95.96,89.26,38.67,1
Z0989,36.3,20.43,58.09,48567,57.98,64.33,94.52,67.0,39.01,1
Z0990,40.02,56.36,47.9,5487,99.29,50.12,84.21,68.39,51.85,1
Z0991,37.47,29.67,67.0,37175,56.82,61.85,76.36,43.03,45.56,1
Z0992,43.81,39.22,75.52,24493,51.29,84.11,86.49,53.2,59.85,2
Z0993,36.8,51.33,58.08,30209,92.87,26.51,61.18,51.48,48.99,1
Z0994,44.46,22.98,86.59,22942,90.6,58.4,70.0,25.34,77.4,3
